obj type,pc match method,belief history,n_points history
OrangeCover,mean_nn,"[0.915930986404419, 0.9994326829910278, 0.9999929070472717, 0.9999999403953552, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9995055794715881, 0.9998945593833923, 0.9998945593833923]","[1036, 4873, 7849, 11392, 15552, 20429, 26663, 34374, 44838, 50136, 50136]"
OrangeCover,mean_nn,"[0.8157027363777161, 0.9884198904037476, 0.9990429282188416, 0.9999469518661499, 0.9999966621398926, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0]","[684, 2637, 4494, 6552, 8897, 11797, 15680, 19108, 20273, 20273, 20273]"
OrangeCover,mean_nn,"[0.8620501160621643, 0.9701212048530579, 0.9999651908874512, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9981321096420288, 0.9981321096420288, 0.9981321096420288]","[1084, 3225, 8101, 13976, 20489, 27114, 35341, 40259, 46442, 46442, 46442]"
OrangeCover,mean_nn,"[0.9183651208877563, 0.9183651208877563, 0.9988653063774109, 0.9999911785125732, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9900000095367432]","[1111, 1111, 4110, 7642, 11850, 16842, 22972, 30736, 41253, 46443, 46443]"
OrangeCover,mean_nn,"[0.915850818157196, 0.9995284676551819, 0.9999932646751404, 0.9999999403953552, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9994928240776062, 0.9999055862426758, 0.9999055862426758]","[1035, 5223, 8223, 11774, 15977, 20950, 27081, 34814, 45283, 50529, 50529]"
OrangeCover,mean_nn,"[0.9160147309303284, 0.999443531036377, 0.9999933838844299, 0.9999999403953552, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9993190169334412, 0.9998781681060791, 0.9998781681060791]","[1066, 4699, 7765, 11229, 15359, 20293, 26378, 34091, 44592, 49776, 49776]"
OrangeCover,mean_nn,"[0.9155817031860352, 0.9995234608650208, 0.999995231628418, 0.9999999403953552, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9995622634887695, 0.9999148845672607, 0.9999148845672607]","[1098, 5001, 7988, 11515, 15718, 20663, 26794, 34434, 44823, 50119, 50119]"
OrangeCover,mean_nn,"[0.7449589967727661, 0.9782472848892212, 0.9985678195953369, 0.9999042749404907, 0.9999930262565613, 0.9999994039535522, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0]","[725, 2729, 4655, 6615, 8970, 11685, 15335, 18449, 20966, 20966, 20966]"
OrangeCover,mean_nn,"[0.918648362159729, 0.994642436504364, 0.9999194145202637, 0.9999994039535522, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9987666606903076, 0.9987666606903076]","[1053, 2367, 5250, 8721, 12865, 17838, 23969, 31844, 42226, 47391, 47391]"
OrangeCover,mean_nn,"[0.9168705344200134, 0.9996589422225952, 0.9999945163726807, 0.9999999403953552, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9995298385620117, 0.999941349029541, 0.999941349029541]","[1074, 4948, 7911, 11498, 15687, 20558, 26752, 34382, 44798, 49917, 49917]"
OrangeCover,mean_nn,"[0.9173398613929749, 0.9995883107185364, 0.9999948740005493, 0.9999999403953552, 1.0, 1.0, 1.0, 0.9900000095367432, 0.9996579885482788, 0.9999596476554871, 0.9999596476554871]","[1055, 4875, 7918, 11405, 15593, 20505, 26644, 34312, 44704, 49925, 49925]"
OrangeCover,mean_nn,"[0.7622563242912292, 0.9843130707740784, 0.9989202618598938, 0.9999359846115112, 0.9999958276748657, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0]","[710, 2769, 4670, 6658, 9088, 11637, 14968, 18327, 19493, 19493, 19493]"
OrangeCover,mean_nn,"[0.8615725636482239, 0.9754750728607178, 0.9999710321426392, 1.0, 1.0, 1.0, 1.0, 0.9918032884597778, 0.9994932413101196, 0.9994932413101196, 0.9994932413101196]","[1084, 3043, 7985, 13820, 20330, 26984, 35369, 43758, 55861, 55861, 55861]"
OrangeCover,mean_nn,"[0.7056200504302979, 0.9764872193336487, 0.9985998272895813, 0.9999087452888489, 0.9999946355819702, 0.9999995231628418, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0]","[724, 2385, 4185, 6235, 8700, 11298, 14948, 18219, 20201, 20201, 20201]"
OrangeCover,mean_nn,"[0.8702504634857178, 0.9367055296897888, 0.9998963475227356, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 0.9918032884597778, 0.9918032884597778, 0.9918032884597778]","[1091, 2779, 7680, 13502, 19973, 26560, 34822, 39500, 45863, 45863, 45863]"
OrangeCover,fscore,"[0.8138822913169861, 0.744591474533081, 0.660271942615509, 0.5644005537033081, 0.4634592533111572, 0.365426242351532, 0.277408242225647, 0.20378246903419495, 0.1457558125257492, 0.10213267803192139, 0.07048816978931427, 0.07048816978931427]","[977, 977, 977, 977, 977, 977, 977, 977, 977, 977, 977, 977]"
OrangeCover,fscore,"[0.8531718254089355, 0.9836763143539429, 0.9979988932609558, 0.999847948551178, 0.9999861121177673, 0.9999989867210388, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[527, 2353, 4138, 6055, 8034, 10223, 13116, 16339, 19839, 23362, 23362, 23362]"
OrangeCover,fscore,"[0.8611125349998474, 0.9880472421646118, 0.9987987875938416, 0.9998793601989746, 0.9999893307685852, 0.9999992847442627, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[622, 3110, 4911, 6841, 8807, 11187, 14219, 17992, 22308, 25737, 25737, 25737]"
OrangeCover,fscore,"[0.8321194648742676, 0.983181357383728, 0.9985487461090088, 0.9998746514320374, 0.9999918937683105, 0.999999463558197, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[757, 2676, 4294, 6209, 7644, 9746, 12261, 15819, 18285, 18285, 18285, 18285]"
OrangeCover,fscore,"[0.8651204705238342, 0.9793352484703064, 0.9985855221748352, 0.9998877048492432, 0.9999938011169434, 0.9999995231628418, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[731, 2331, 3939, 5771, 7649, 10117, 13112, 15777, 18226, 18226, 18226, 18226]"
OrangeCover,fscore,"[0.8166279196739197, 0.8553410172462463, 0.926975429058075, 0.9394486546516418, 0.9499064683914185, 0.9266957640647888, 0.8939313292503357, 0.8489099144935608, 0.7892834544181824, 0.8207272291183472, 0.8207272291183472, 0.8207272291183472]","[795, 2949, 5231, 7748, 10627, 10627, 10627, 10627, 10627, 15694, 15694, 15694]"
OrangeCover,fscore,"[0.8002358078956604, 0.9830765724182129, 0.9983583092689514, 0.9999043345451355, 0.9999946355819702, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[787, 2893, 4363, 6140, 8000, 10243, 13211, 16080, 17887, 17887, 17887, 17887]"
OrangeCover,fscore,"[0.8243350386619568, 0.9750879406929016, 0.9974822402000427, 0.9997936487197876, 0.9999895095825195, 0.9999994039535522, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1047, 2699, 4546, 6478, 8697, 11503, 14996, 19437, 25172, 27745, 27745, 27745]"
OrangeCover,fscore,"[0.8902604579925537, 0.9913455247879028, 0.9992258548736572, 0.9999481439590454, 0.999996542930603, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[789, 2612, 4235, 5894, 7941, 10361, 13238, 15803, 17688, 17688, 17688, 17688]"
OrangeCover,fscore,"[0.550000011920929, 0.9145068526268005, 0.9895792603492737, 0.9989863634109497, 0.9999335408210754, 0.999995231628418, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0]","[811, 2651, 4447, 6431, 8597, 11239, 14404, 18340, 23362, 30190, 30190, 30190]"
OrangeCover,fscore,"[0.8438559770584106, 0.9799259305000305, 0.9978079199790955, 0.9998227953910828, 0.9999908208847046, 0.9999994039535522, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1070, 2900, 4662, 6577, 8922, 11733, 15258, 19645, 24375, 24375, 24375, 24375]"
OrangeCover,fscore,"[0.8865039944648743, 0.9880992770195007, 0.9988073110580444, 0.999874472618103, 0.9999924898147583, 0.999999463558197, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[920, 2995, 4776, 6665, 8861, 11517, 14692, 18641, 23676, 30668, 30668, 30668]"
OrangeCover,fscore,"[0.8033665418624878, 0.9243277311325073, 0.9743739366531372, 0.989691436290741, 0.9915498495101929, 0.9873781204223633, 0.9811859130859375, 0.9720419049263, 0.958640992641449, 0.9855929613113403, 0.9855929613113403, 0.9855929613113403]","[792, 2900, 5141, 7594, 10504, 10504, 10504, 10504, 10504, 15434, 15434, 15434]"
OrangeCover,fscore,"[0.7869265079498291, 0.9784378409385681, 0.9978169202804565, 0.9998412132263184, 0.9999908208847046, 0.999999463558197, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1087, 3457, 5218, 7000, 9244, 12128, 15680, 20198, 20198, 20198, 20198, 20198]"
OrangeCover,fscore,"[0.8149451613426208, 0.9853128790855408, 0.9987019300460815, 0.9999111294746399, 0.9999952912330627, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1089, 3232, 4943, 6792, 8994, 11796, 15268, 19705, 19705, 19705, 19705, 19705]"
